StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
VWAP8,2019-Sep-13 19:11:48.963788,2019-Sep-13 19:11:48.963788,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514350,,,
VWAP8,2019-Sep-13 19:11:49.418394,2019-Sep-13 19:11:49.418394,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514351,,,
VWAP8,2019-Sep-13 19:11:51.348548,2019-Sep-13 19:11:51.348548,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514352,,,
VWAP8,2019-Sep-13 19:11:51.358487,2019-Sep-13 19:11:51.358487,FILLED,FILL,MSFT,SELL,MARKET,DAY,128.000000,-5,0,-5,0,128.000000,0.020336,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514353,,,
VWAP8,2019-Sep-13 19:11:52.985378,2019-Sep-13 19:11:52.985378,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514354,,,
VWAP8,2019-Sep-13 19:11:52.985402,2019-Sep-13 19:11:52.985402,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514355,,,
VWAP8,2019-Sep-13 19:11:53.513968,2019-Sep-13 19:11:53.513968,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514356,,,
VWAP8,2019-Sep-13 19:11:53.834245,2019-Sep-13 19:11:53.834245,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514357,,,
VWAP8,2019-Sep-13 19:11:55.036552,2019-Sep-13 19:11:55.036552,FILLED,FILL,MSFT,BUY,MARKET,DAY,137.030000,1,0,1,0,137.030000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514358,,,
VWAP8,2019-Sep-13 19:11:57.158273,2019-Sep-13 19:11:57.158273,FILLED,FILL,AAPL,BUY,MARKET,DAY,219.980000,5,0,5,0,219.980000,0.006000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514359,,,
VWAP8,2019-Sep-13 19:11:58.928898,2019-Sep-13 19:11:58.928898,FILLED,FILL,AAPL,SELL,MARKET,DAY,170.000000,-1,0,-1,0,170.000000,0.005008,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514360,,,
VWAP8,2019-Sep-13 19:12:22.864922,2019-Sep-13 19:12:22.864922,FILLED,FILL,MSFT,SELL,MARKET,DAY,137.010000,-5,0,-5,0,137.010000,0.021345,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514361,,,
