StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
VWAP8,2019-Sep-13 17:44:09.136738,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512165,,FILL
VWAP8,2019-Sep-13 17:44:10.593584,MSFT,-5,137.230000,0.021370,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512166,,FILL
VWAP8,2019-Sep-13 17:44:10.724139,MSFT,1,137.260000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512167,,FILL
VWAP8,2019-Sep-13 17:44:21.809512,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512168,,FILL
VWAP8,2019-Sep-13 17:44:24.440268,MSFT,1,137.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512169,,FILL
VWAP8,2019-Sep-13 17:44:25.157863,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512170,,FILL
VWAP8,2019-Sep-13 17:44:29.030937,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512171,,FILL
VWAP8,2019-Sep-13 17:44:42.733035,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512172,,FILL
VWAP8,2019-Sep-13 17:44:42.829528,MSFT,1,137.310000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512173,,FILL
VWAP8,2019-Sep-13 17:44:42.829555,MSFT,1,137.310000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512174,,FILL
VWAP8,2019-Sep-13 17:44:47.189864,MSFT,1,137.310000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512175,,FILL
VWAP8,2019-Sep-13 17:44:48.984720,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512176,,FILL
VWAP8,2019-Sep-13 17:44:55.135202,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512177,,FILL
VWAP8,2019-Sep-13 17:45:05.068450,MSFT,1,137.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512178,,FILL
VWAP8,2019-Sep-13 17:45:05.068826,MSFT,-5,137.310000,0.021379,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512179,,FILL
VWAP8,2019-Sep-13 17:45:05.070627,MSFT,1,137.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512180,,FILL
VWAP8,2019-Sep-13 17:45:05.079789,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512181,,FILL
VWAP8,2019-Sep-13 17:45:09.388475,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512182,,FILL
VWAP8,2019-Sep-13 17:45:10.264954,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512183,,FILL
VWAP8,2019-Sep-13 17:45:17.913626,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512184,,FILL
VWAP8,2019-Sep-13 17:45:20.393172,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512185,,FILL
VWAP8,2019-Sep-13 17:45:20.396563,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512186,,FILL
VWAP8,2019-Sep-13 17:45:32.291524,MSFT,1,137.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512187,,FILL
VWAP8,2019-Sep-13 17:45:39.590470,AAPL,-1,217.190000,0.006065,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512188,,FILL
