Name,Time,Cumulative PnL
VWAP8,2019-Sep-13 16:31:02.448096,-34416.896403
VWAP8,2019-Sep-13 16:32:03.410977,-35455.382341
VWAP8,2019-Sep-13 16:33:04.312549,-36393.477618
VWAP8,2019-Sep-13 16:34:04.802072,-36695.079058
VWAP8,2019-Sep-13 16:35:05.742981,-37273.112698
VWAP8,2019-Sep-13 16:36:06.565070,-38074.951719
VWAP8,2019-Sep-13 16:37:08.501262,-38212.596089
VWAP8,2019-Sep-13 16:38:09.128589,-38706.853803
VWAP8,2019-Sep-13 16:39:09.877490,-39064.854501
VWAP8,2019-Sep-13 16:40:10.733148,-39570.853753
VWAP8,2019-Sep-13 16:41:11.380240,-39821.248160
VWAP8,2019-Sep-13 16:42:12.456647,-39970.892151
VWAP8,2019-Sep-13 16:43:14.588852,-40465.976577
VWAP8,2019-Sep-13 16:44:14.879411,-40632.900967
VWAP8,2019-Sep-13 16:45:15.670295,-40652.519965
VWAP8,2019-Sep-13 16:46:17.954816,-40669.235873
VWAP8,2019-Sep-13 16:47:19.924890,-40690.148848
VWAP8,2019-Sep-13 16:48:20.135686,-40705.018223
VWAP8,2019-Sep-13 16:49:21.824218,-40728.977043
VWAP8,2019-Sep-13 16:50:23.535208,-40744.780742
VWAP8,2019-Sep-13 16:51:25.581684,-40764.665589
VWAP8,2019-Sep-13 16:52:27.975085,-40828.226190
VWAP8,2019-Sep-13 16:53:28.393764,-41163.170014
VWAP8,2019-Sep-13 16:54:28.987002,-41720.600488
VWAP8,2019-Sep-13 16:55:29.714012,-41963.108911
VWAP8,2019-Sep-13 16:56:30.476536,-42213.475760
VWAP8,2019-Sep-13 16:57:33.269938,-42370.647682
VWAP8,2019-Sep-13 16:58:35.736294,-42537.314887
VWAP8,2019-Sep-13 16:59:41.361021,-42891.484294
VWAP8,2019-Sep-13 17:00:42.938714,-43116.416017
VWAP8,2019-Sep-13 17:01:45.695204,-43150.628909
VWAP8,2019-Sep-13 17:02:46.847856,-43408.475866
VWAP8,2019-Sep-13 17:03:48.331769,-43542.611801
VWAP8,2019-Sep-13 17:04:50.505961,-43770.363161
VWAP8,2019-Sep-13 17:05:51.505133,-43951.045654
VWAP8,2019-Sep-13 17:06:52.634615,-43974.906771
VWAP8,2019-Sep-13 17:07:55.293624,-44046.534617
VWAP8,2019-Sep-13 17:08:57.102746,-44115.576714
VWAP8,2019-Sep-13 17:09:58.872724,-44154.079615
VWAP8,2019-Sep-13 17:11:00.551203,-44142.079021
VWAP8,2019-Sep-13 17:12:02.175046,-44208.839465
VWAP8,2019-Sep-13 17:13:04.246161,-44293.538490
VWAP8,2019-Sep-13 17:14:05.547006,-44362.969056
VWAP8,2019-Sep-13 17:15:12.026320,-44413.399539
VWAP8,2019-Sep-13 17:16:16.117268,-44425.811168
VWAP8,2019-Sep-13 17:17:17.256599,-44485.828572
VWAP8,2019-Sep-13 17:18:20.584550,-44556.404015
VWAP8,2019-Sep-13 17:19:22.781131,-44649.353178
VWAP8,2019-Sep-13 17:20:25.379055,-44727.523694
VWAP8,2019-Sep-13 17:21:29.278479,-44753.195573
VWAP8,2019-Sep-13 17:22:32.374246,-44803.302392
VWAP8,2019-Sep-13 17:23:33.367744,-44775.910487
VWAP8,2019-Sep-13 17:24:40.033146,-44790.707366
VWAP8,2019-Sep-13 17:25:41.009402,-44843.457914
VWAP8,2019-Sep-13 17:26:42.387279,-45336.399205
VWAP8,2019-Sep-13 17:27:43.227675,-45514.814661
VWAP8,2019-Sep-13 17:28:44.549707,-45740.693231
VWAP8,2019-Sep-13 17:29:45.279120,-46181.601042
VWAP8,2019-Sep-13 17:30:48.046478,-46938.631181
VWAP8,2019-Sep-13 17:31:49.461352,-47106.191843
VWAP8,2019-Sep-13 17:32:51.140316,-47452.973075
VWAP8,2019-Sep-13 17:34:02.089444,-47444.468065
VWAP8,2019-Sep-13 17:35:03.488909,-47694.171694
VWAP8,2019-Sep-13 17:36:05.791524,-48342.842921
VWAP8,2019-Sep-13 17:37:07.353814,-48360.087510
VWAP8,2019-Sep-13 17:38:13.063976,-48720.167156
VWAP8,2019-Sep-13 17:39:13.503580,-48721.629414
VWAP8,2019-Sep-13 17:40:15.244283,-48878.238895
VWAP8,2019-Sep-13 17:41:15.939377,-48966.302164
VWAP8,2019-Sep-13 17:42:19.019804,-49587.341458
VWAP8,2019-Sep-13 17:43:19.881583,-50079.908508
VWAP8,2019-Sep-13 17:44:20.653502,-50608.556822
VWAP8,2019-Sep-13 17:45:23.131866,-50800.035689
VWAP8,2019-Sep-13 17:46:23.894068,-50892.209951
VWAP8,2019-Sep-13 17:47:25.083900,-51220.090982
VWAP8,2019-Sep-13 17:48:26.135547,-51321.268326
VWAP8,2019-Sep-13 17:49:28.041210,-52871.049961
VWAP8,2019-Sep-13 17:50:28.486016,-54216.477561
VWAP8,2019-Sep-13 17:51:28.979667,-55523.977640
VWAP8,2019-Sep-13 17:52:30.043568,-56883.796246
VWAP8,2019-Sep-13 17:53:30.639602,-57664.505079
VWAP8,2019-Sep-13 17:54:30.877291,-57683.841859
VWAP8,2019-Sep-13 17:55:32.886820,-57748.446868
VWAP8,2019-Sep-13 17:56:34.093071,-57853.588191
VWAP8,2019-Sep-13 17:57:36.364761,-58026.338805
VWAP8,2019-Sep-13 17:58:36.742750,-58141.046186
VWAP8,2019-Sep-13 17:59:37.627111,-58320.664639
VWAP8,2019-Sep-13 18:00:38.347709,-58413.492417
VWAP8,2019-Sep-13 18:01:39.057197,-58588.177227
VWAP8,2019-Sep-13 18:02:40.326866,-58796.393261
VWAP8,2019-Sep-13 18:03:41.508247,-58984.608945
